Rank,name,Country,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
71.0,Chase Lee Roodt,South Africa,1333.0,277.0,8.0,198.0,110.0,68.0,56.0,69.0,48.0,252.0,29.0,41.0,5.0,17.0,107.0,16.0,7.0,25.0
72.0,Charlie Cleworth,South Africa,1334.0,24.0,13.0,177.0,215.0,68.0,56.0,69.0,48.0,131.0,69.0,249.0,69.0,61.0,37.0,16.0,7.0,25.0
73.0,Micah Willenburgh,South Africa,1347.0,291.0,54.0,181.0,105.0,68.0,56.0,69.0,48.0,177.0,69.0,44.0,66.0,50.0,21.0,16.0,7.0,25.0
74.0,Ehikhuemen Paul,Nigeria,1367.0,63.0,335.0,21.0,19.0,68.0,56.0,2.0,48.0,34.0,69.0,28.0,159.0,325.0,107.0,1.0,7.0,25.0
75.0,Christiaan Botha,South Africa,1375.0,110.0,60.0,151.0,92.0,68.0,56.0,69.0,39.0,96.0,69.0,68.0,17.0,325.0,107.0,16.0,7.0,25.0
76.0,Damian Peter Shaw,Zimbabwe,1381.0,96.0,92.0,74.0,161.0,68.0,56.0,69.0,27.0,142.0,69.0,125.0,55.0,192.0,107.0,16.0,7.0,25.0
77.0,Rayan Kerkeni,Tunisia,1417.0,172.0,18.0,212.0,167.0,68.0,56.0,69.0,48.0,118.0,69.0,165.0,24.0,76.0,107.0,16.0,7.0,25.0
78.0,David Okoro-Sokoh,Nigeria,1427.0,38.0,242.0,30.0,50.0,68.0,56.0,69.0,48.0,65.0,69.0,95.0,117.0,325.0,107.0,16.0,7.0,25.0
79.0,Stephen Cotterrell,South Africa,1443.0,60.0,156.0,54.0,82.0,68.0,56.0,69.0,48.0,87.0,69.0,96.0,118.0,325.0,107.0,16.0,7.0,25.0
80.0,Zander Daniel Wessels,South Africa,1453.0,374.0,208.0,129.0,83.0,40.0,39.0,69.0,48.0,216.0,8.0,69.0,50.0,36.0,36.0,16.0,7.0,25.0
