Rank,name,Country,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
82.0,Kalvin Lum,New Zealand,2646.0,287.0,375.0,165.0,77.0,42.0,40.0,95.0,276.0,185.0,104.0,84.0,372.0,372.0,20.0,65.0,33.0,54.0
83.0,Joe Davis,Australia,2660.0,267.0,261.0,121.0,154.0,92.0,60.0,317.0,229.0,262.0,115.0,146.0,171.0,79.0,141.0,65.0,33.0,147.0
84.0,Cameron Stollery,Australia,2671.0,29.0,31.0,204.0,188.0,195.0,202.0,116.0,16.0,141.0,265.0,198.0,176.0,392.0,338.0,65.0,33.0,82.0
85.0,Jonah Blakeley,Australia,2700.0,372.0,210.0,274.0,117.0,119.0,100.0,97.0,229.0,278.0,82.0,191.0,168.0,160.0,86.0,65.0,33.0,119.0
86.0,Sarina Wang,New Zealand,2718.0,88.0,243.0,65.0,113.0,477.0,352.0,317.0,383.0,60.0,59.0,92.0,77.0,60.0,87.0,65.0,33.0,147.0
87.0,Calven Lipec,Australia,2733.0,218.0,190.0,139.0,257.0,159.0,129.0,219.0,166.0,280.0,355.0,165.0,112.0,22.0,77.0,65.0,33.0,147.0
88.0,Conor Sullivan,Australia,2808.0,234.0,147.0,131.0,158.0,158.0,140.0,317.0,48.0,165.0,627.0,95.0,193.0,16.0,134.0,65.0,33.0,147.0
89.0,Jules Graham,New Zealand,2815.0,245.0,533.0,215.0,294.0,171.0,252.0,205.0,154.0,273.0,8.0,74.0,13.0,112.0,108.0,65.0,33.0,60.0
90.0,Cole Campbell,New Zealand,2845.0,465.0,151.0,107.0,121.0,83.0,160.0,16.0,32.0,171.0,227.0,134.0,293.0,402.0,407.0,25.0,33.0,18.0
91.0,Edwin Shen,New Zealand,2870.0,216.0,136.0,138.0,186.0,202.0,352.0,317.0,383.0,247.0,3.0,248.0,46.0,69.0,82.0,65.0,33.0,147.0
92.0,Luke Heath-Edwards,New Zealand,2871.0,518.0,362.0,125.0,179.0,77.0,75.0,105.0,125.0,250.0,59.0,187.0,278.0,144.0,250.0,53.0,33.0,51.0
93.0,Tam Quan,Australia,2874.0,178.0,272.0,200.0,160.0,231.0,251.0,2.0,16.0,71.0,276.0,46.0,682.0,353.0,88.0,9.0,33.0,6.0
94.0,Toby Seufert,Australia,2879.0,18.0,8.0,62.0,229.0,215.0,253.0,317.0,125.0,84.0,438.0,180.0,102.0,247.0,356.0,65.0,33.0,147.0
95.0,Wesley Allen,Australia,2979.0,137.0,62.0,141.0,181.0,228.0,352.0,190.0,383.0,142.0,261.0,150.0,9.0,169.0,329.0,65.0,33.0,147.0
96.0,Vaibhav-Jai Ravipati,Australia,3028.0,225.0,2.0,280.0,207.0,477.0,352.0,317.0,202.0,189.0,111.0,164.0,19.0,83.0,155.0,65.0,33.0,147.0
97.0,Lance Aguilar,Australia,3051.0,66.0,286.0,32.0,27.0,45.0,352.0,317.0,383.0,136.0,627.0,80.0,303.0,58.0,94.0,65.0,33.0,147.0
98.0,Alex Butera,Australia,3071.0,321.0,96.0,356.0,263.0,274.0,278.0,126.0,250.0,399.0,15.0,211.0,197.0,21.0,19.0,65.0,33.0,147.0
99.0,Timothy Yang,Australia,3109.0,259.0,406.0,208.0,182.0,127.0,102.0,200.0,383.0,216.0,150.0,24.0,197.0,289.0,121.0,65.0,33.0,147.0
100.0,Darcy Way,Australia,3139.0,71.0,171.0,112.0,93.0,60.0,71.0,317.0,383.0,25.0,627.0,15.0,505.0,245.0,199.0,65.0,33.0,147.0
101.0,Regan Roberts,Australia,3141.0,379.0,93.0,150.0,210.0,113.0,93.0,317.0,383.0,328.0,94.0,96.0,327.0,169.0,144.0,65.0,33.0,147.0
102.0,Benjamin Agnew,New Zealand,3182.0,167.0,281.0,198.0,153.0,477.0,55.0,317.0,40.0,270.0,627.0,70.0,67.0,111.0,104.0,65.0,33.0,147.0
103.0,Tom Nelson,New Zealand,3207.0,472.0,74.0,199.0,164.0,99.0,85.0,12.0,6.0,716.0,141.0,199.0,275.0,618.0,138.0,3.0,2.0,4.0
104.0,Patrick Kleverlaan,Australia,3209.0,520.0,190.0,424.0,167.0,122.0,62.0,120.0,16.0,305.0,43.0,354.0,219.0,187.0,298.0,65.0,33.0,84.0
105.0,Xavier Courteau-Laing,New Zealand,3211.0,126.0,61.0,82.0,129.0,181.0,176.0,317.0,154.0,113.0,627.0,196.0,235.0,410.0,159.0,65.0,33.0,147.0
106.0,Finn Trass,New Zealand,3241.0,58.0,483.0,16.0,19.0,11.0,13.0,262.0,73.0,110.0,476.0,25.0,489.0,815.0,188.0,65.0,33.0,105.0
107.0,Connor Johnson,New Zealand,3254.0,223.0,15.0,295.0,224.0,254.0,352.0,317.0,383.0,423.0,17.0,159.0,10.0,189.0,148.0,65.0,33.0,147.0
108.0,Jack Beckett,Australia,3268.0,44.0,92.0,102.0,255.0,293.0,352.0,317.0,32.0,108.0,627.0,323.0,220.0,108.0,150.0,65.0,33.0,147.0
109.0,Eshiel Benzion Narayanan,Australia,3282.0,441.0,369.0,160.0,109.0,82.0,180.0,317.0,202.0,286.0,182.0,143.0,187.0,91.0,288.0,65.0,33.0,147.0
110.0,Ziqi Ding,Australia,3299.0,166.0,261.0,159.0,168.0,436.0,267.0,317.0,239.0,138.0,627.0,110.0,22.0,39.0,105.0,65.0,33.0,147.0
111.0,Oscar Hansen,New Zealand,3356.0,108.0,391.0,79.0,152.0,281.0,239.0,317.0,383.0,454.0,61.0,125.0,39.0,258.0,224.0,65.0,33.0,147.0
112.0,Edbert Sim,Australia,3368.0,684.0,143.0,293.0,335.0,261.0,205.0,172.0,154.0,421.0,95.0,93.0,56.0,172.0,119.0,65.0,33.0,67.0
113.0,Mukund Karthik,New Zealand,3381.0,173.0,267.0,64.0,64.0,79.0,148.0,317.0,60.0,35.0,601.0,358.0,387.0,406.0,177.0,65.0,33.0,147.0
114.0,Seth Ferry,Australia,3386.0,30.0,115.0,34.0,45.0,204.0,352.0,151.0,81.0,19.0,627.0,19.0,351.0,1142.0,45.0,65.0,33.0,73.0
115.0,Roman Rudakov,Australia,3393.0,141.0,127.0,67.0,142.0,106.0,235.0,317.0,229.0,131.0,299.0,279.0,170.0,146.0,759.0,65.0,33.0,147.0
116.0,Thomas Tinlin,Australia,3395.0,235.0,548.0,78.0,49.0,23.0,45.0,317.0,239.0,282.0,36.0,386.0,703.0,82.0,127.0,65.0,33.0,147.0
117.0,Tim Major,Australia,3398.0,349.0,77.0,416.0,260.0,409.0,319.0,107.0,32.0,213.0,230.0,315.0,67.0,74.0,285.0,65.0,33.0,147.0
118.0,Mannessah Kani,Australia,3407.0,317.0,617.0,157.0,118.0,46.0,69.0,168.0,81.0,301.0,480.0,183.0,150.0,223.0,303.0,65.0,33.0,96.0
119.0,Brock Hamann,Australia,3424.0,196.0,79.0,185.0,92.0,85.0,77.0,56.0,110.0,219.0,137.0,246.0,615.0,1079.0,164.0,33.0,19.0,32.0
120.0,Jack O'Mahony,Australia,3431.0,156.0,356.0,103.0,62.0,118.0,114.0,317.0,239.0,120.0,474.0,162.0,605.0,289.0,71.0,65.0,33.0,147.0
121.0,Hao Do,Australia,3433.0,162.0,182.0,91.0,66.0,65.0,66.0,317.0,383.0,149.0,627.0,121.0,608.0,112.0,239.0,65.0,33.0,147.0
122.0,Nathan Chong,New Zealand,3440.0,119.0,557.0,85.0,111.0,147.0,352.0,317.0,383.0,33.0,370.0,116.0,130.0,302.0,173.0,65.0,33.0,147.0
123.0,Rhys Campbell,Australia,3494.0,326.0,143.0,216.0,162.0,170.0,149.0,184.0,229.0,194.0,627.0,295.0,402.0,87.0,93.0,65.0,33.0,119.0
124.0,Hans Lin,Australia,3521.0,175.0,265.0,232.0,214.0,278.0,273.0,35.0,383.0,62.0,53.0,897.0,200.0,210.0,66.0,32.0,33.0,113.0
125.0,Aaron Spiller,Australia,3546.0,650.0,267.0,250.0,221.0,164.0,126.0,53.0,218.0,484.0,166.0,209.0,396.0,134.0,125.0,15.0,18.0,50.0
126.0,Anton Kraev,Australia,3566.0,321.0,177.0,268.0,244.0,150.0,229.0,279.0,142.0,556.0,220.0,223.0,54.0,199.0,259.0,65.0,33.0,147.0
127.0,Ramesh Vidyasagar,Australia,3569.0,176.0,165.0,73.0,104.0,187.0,188.0,317.0,73.0,143.0,627.0,144.0,441.0,412.0,274.0,65.0,33.0,147.0
128.0,Isaac Latta,New Zealand,3570.0,164.0,382.0,180.0,184.0,242.0,186.0,317.0,383.0,175.0,172.0,347.0,153.0,37.0,403.0,65.0,33.0,147.0
129.0,Miller Atkinson,Australia,3575.0,235.0,253.0,448.0,306.0,230.0,352.0,165.0,383.0,443.0,58.0,238.0,95.0,45.0,79.0,65.0,33.0,147.0
130.0,Monty Wain,Australia,3638.0,224.0,388.0,135.0,128.0,72.0,43.0,25.0,218.0,763.0,627.0,32.0,143.0,195.0,560.0,28.0,33.0,24.0
131.0,Hugo Adams,Australia,3645.0,586.0,161.0,268.0,236.0,143.0,352.0,195.0,321.0,320.0,362.0,200.0,109.0,40.0,107.0,65.0,33.0,147.0
132.0,Cooper Holmes,Australia,3651.0,38.0,104.0,80.0,123.0,88.0,352.0,317.0,383.0,95.0,229.0,897.0,97.0,508.0,95.0,65.0,33.0,147.0
133.0,Richie Lim,Australia,3675.0,319.0,517.0,244.0,95.0,355.0,352.0,174.0,103.0,192.0,472.0,43.0,278.0,174.0,123.0,65.0,33.0,136.0
134.0,Auric Cui,Australia,3726.0,677.0,299.0,514.0,237.0,205.0,175.0,317.0,48.0,482.0,76.0,220.0,158.0,43.0,30.0,65.0,33.0,147.0
135.0,Taine Cassar,Australia,3731.0,64.0,314.0,74.0,101.0,331.0,352.0,288.0,321.0,254.0,627.0,8.0,234.0,311.0,207.0,65.0,33.0,147.0
136.0,McEwan Barton-Johnson,Australia,3737.0,200.0,96.0,330.0,745.0,477.0,352.0,218.0,125.0,224.0,154.0,184.0,43.0,261.0,83.0,65.0,33.0,147.0
137.0,Leeah Gard-Spaulding,Australia,3751.0,64.0,190.0,255.0,223.0,236.0,352.0,317.0,383.0,383.0,255.0,99.0,220.0,178.0,351.0,65.0,33.0,147.0
138.0,Andrew Sherman,Australia,3756.0,269.0,418.0,286.0,254.0,152.0,172.0,317.0,202.0,341.0,230.0,109.0,326.0,335.0,100.0,65.0,33.0,147.0
139.0,Nathaniel Khalinsky,Australia,3757.0,272.0,107.0,266.0,124.0,135.0,107.0,317.0,202.0,121.0,627.0,254.0,325.0,598.0,57.0,65.0,33.0,147.0
140.0,Zak Kenny,Australia,3784.0,101.0,107.0,17.0,71.0,57.0,72.0,47.0,166.0,84.0,491.0,30.0,707.0,954.0,759.0,41.0,33.0,47.0
141.0,Samuel Moliver,Australia,3801.0,321.0,454.0,366.0,325.0,287.0,228.0,36.0,27.0,327.0,99.0,218.0,255.0,653.0,159.0,21.0,14.0,11.0
142.0,Lucas Chung,Australia,3808.0,144.0,166.0,466.0,242.0,477.0,144.0,178.0,383.0,241.0,146.0,177.0,354.0,209.0,236.0,65.0,33.0,147.0
143.0,Tommas Austin-Milne,Australia,3809.0,114.0,15.0,90.0,182.0,477.0,352.0,115.0,286.0,150.0,135.0,242.0,136.0,750.0,606.0,65.0,33.0,61.0
144.0,Ben Adcock,Australia,3819.0,292.0,335.0,174.0,232.0,146.0,161.0,259.0,184.0,304.0,218.0,233.0,161.0,434.0,441.0,65.0,33.0,147.0
145.0,Dylan Johnston,Australia,3832.0,84.0,112.0,231.0,233.0,477.0,352.0,317.0,184.0,170.0,178.0,897.0,106.0,44.0,202.0,65.0,33.0,147.0
146.0,Anthony Brand,Australia,3834.0,176.0,825.0,120.0,78.0,54.0,94.0,317.0,383.0,166.0,145.0,259.0,538.0,366.0,68.0,65.0,33.0,147.0
147.0,David Lim,New Zealand,3835.0,483.0,1223.0,137.0,130.0,64.0,27.0,317.0,154.0,144.0,71.0,119.0,213.0,346.0,162.0,65.0,33.0,147.0
148.0,Mantra Shukla,New Zealand,3905.0,211.0,81.0,202.0,318.0,477.0,352.0,317.0,264.0,255.0,500.0,176.0,45.0,104.0,358.0,65.0,33.0,147.0
149.0,Josephine Siburian,Australia,3931.0,515.0,548.0,182.0,161.0,98.0,352.0,317.0,383.0,409.0,150.0,13.0,376.0,150.0,32.0,65.0,33.0,147.0
150.0,Numair Malik,New Zealand,3947.0,574.0,243.0,310.0,385.0,316.0,245.0,213.0,103.0,372.0,19.0,243.0,250.0,272.0,157.0,65.0,33.0,147.0
151.0,George Pelham,Australia,3951.0,143.0,267.0,129.0,133.0,163.0,128.0,317.0,125.0,75.0,627.0,170.0,692.0,335.0,402.0,65.0,33.0,147.0
