Rank,name,Country,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
90.0,Beatriz Hernandes Bernardes,Brazil,3860.0,265.0,353.0,339.0,261.0,121.0,247.0,73.0,155.0,702.0,166.0,246.0,298.0,484.0,33.0,45.0,33.0,39.0
91.0,Jose Daniel Cobo Torres,Colombia,3878.0,48.0,102.0,46.0,17.0,27.0,30.0,607.0,607.0,240.0,401.0,3.0,1045.0,177.0,196.0,80.0,33.0,219.0
92.0,Michael Fonseca,Chile,3889.0,434.0,328.0,156.0,223.0,420.0,557.0,120.0,607.0,399.0,6.0,109.0,17.0,25.0,156.0,80.0,33.0,219.0
93.0,Alejandro Isaza,Colombia,3892.0,348.0,353.0,169.0,266.0,380.0,395.0,214.0,47.0,151.0,335.0,520.0,11.0,120.0,343.0,80.0,33.0,127.0
94.0,Mario Armando Takahashi Martins Dias,Brazil,3956.0,50.0,35.0,140.0,456.0,698.0,557.0,607.0,607.0,225.0,33.0,31.0,4.0,126.0,55.0,80.0,33.0,219.0
95.0,Felipe Maierowicz,Argentina,3984.0,123.0,186.0,260.0,549.0,698.0,557.0,394.0,223.0,242.0,23.0,26.0,166.0,201.0,4.0,80.0,33.0,219.0
96.0,Giovane Rubin Fioravanti,Brazil,3993.0,30.0,28.0,29.0,82.0,266.0,260.0,607.0,155.0,17.0,394.0,515.0,328.0,325.0,625.0,80.0,33.0,219.0
97.0,Eduardo Munive,Peru,4042.0,337.0,116.0,509.0,367.0,251.0,305.0,607.0,23.0,320.0,193.0,620.0,11.0,17.0,34.0,80.0,33.0,219.0
98.0,Luis Angel Contreras Ospina,Colombia,4063.0,169.0,169.0,104.0,165.0,109.0,122.0,334.0,607.0,109.0,269.0,305.0,48.0,151.0,1070.0,80.0,33.0,219.0
99.0,José David Castiblanco Marin,Colombia,4082.0,316.0,792.0,334.0,238.0,115.0,163.0,187.0,61.0,274.0,297.0,377.0,229.0,217.0,204.0,64.0,33.0,181.0
100.0,Bruno Fonsêca Coelho Lima,Brazil,4098.0,460.0,185.0,344.0,340.0,240.0,282.0,417.0,8.0,460.0,175.0,260.0,244.0,285.0,66.0,80.0,33.0,219.0
101.0,Giovanny Coronado,Colombia,4118.0,430.0,163.0,333.0,284.0,255.0,216.0,607.0,155.0,274.0,220.0,231.0,212.0,337.0,69.0,80.0,33.0,219.0
102.0,Renzo Rodriguez Moreno,Colombia,4134.0,188.0,472.0,138.0,124.0,189.0,227.0,607.0,78.0,278.0,727.0,71.0,228.0,233.0,242.0,80.0,33.0,219.0
103.0,Nicolás Lasso Peña,Colombia,4238.0,500.0,26.0,320.0,131.0,184.0,91.0,163.0,31.0,674.0,409.0,242.0,412.0,373.0,452.0,80.0,33.0,117.0
104.0,Ramiro Mendez,Argentina,4252.0,13.0,110.0,34.0,53.0,698.0,557.0,176.0,607.0,19.0,727.0,58.0,154.0,173.0,541.0,80.0,33.0,219.0
104.0,Franklin Ronquillo,Venezuela,4252.0,247.0,390.0,131.0,142.0,479.0,487.0,303.0,607.0,191.0,213.0,391.0,33.0,236.0,70.0,80.0,33.0,219.0
106.0,Ernesto Gutiérrez Cuba,Peru,4267.0,43.0,160.0,31.0,26.0,60.0,38.0,439.0,607.0,21.0,727.0,132.0,409.0,484.0,758.0,80.0,33.0,219.0
107.0,Gabriel Sargeiro Gomes de Mello,Brazil,4311.0,412.0,110.0,730.0,245.0,133.0,119.0,378.0,61.0,154.0,516.0,27.0,268.0,493.0,333.0,80.0,33.0,219.0
108.0,Rodrigo Lucas Pardo,Chile,4354.0,21.0,110.0,83.0,76.0,160.0,254.0,281.0,607.0,80.0,727.0,16.0,849.0,361.0,397.0,80.0,33.0,219.0
109.0,Daniel Alberto Sánchez Dugarte,Venezuela,4401.0,191.0,40.0,209.0,187.0,316.0,557.0,607.0,540.0,129.0,410.0,190.0,38.0,395.0,260.0,80.0,33.0,219.0
110.0,Santiago Ramírez Jiménez,Colombia,4403.0,206.0,237.0,257.0,205.0,130.0,183.0,271.0,167.0,224.0,383.0,487.0,361.0,398.0,562.0,80.0,33.0,219.0
111.0,Allyson Dias de Lima,Brazil,4406.0,660.0,8.0,600.0,689.0,399.0,406.0,86.0,47.0,242.0,159.0,334.0,189.0,243.0,234.0,47.0,33.0,30.0
112.0,Manuel Popayán,Colombia,4446.0,19.0,180.0,40.0,129.0,84.0,65.0,607.0,607.0,25.0,478.0,110.0,615.0,1078.0,77.0,80.0,33.0,219.0
113.0,Luan Gomes de Almeida Araújo,Brazil,4477.0,303.0,510.0,534.0,361.0,301.0,235.0,263.0,26.0,437.0,51.0,461.0,298.0,212.0,246.0,80.0,24.0,135.0
114.0,José Garrido,Chile,4500.0,42.0,130.0,68.0,199.0,218.0,159.0,239.0,97.0,135.0,126.0,263.0,713.0,734.0,1070.0,80.0,33.0,194.0
