Rank,name,Country,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf
112.0,Jan Louis van den Berg,South Africa,1630.0,289.0,136.0,185.0,158.0,57.0,40.0,17.0,24.0,257.0,53.0,57.0,114.0,151.0,89.0,3.0
113.0,Joshua Van Wyk,South Africa,1636.0,34.0,92.0,170.0,158.0,57.0,40.0,17.0,24.0,130.0,53.0,168.0,287.0,314.0,89.0,3.0
114.0,Zameer Dada,South Africa,1657.0,309.0,127.0,260.0,129.0,57.0,40.0,17.0,24.0,128.0,53.0,147.0,166.0,122.0,75.0,3.0
115.0,Keelan Naidoo,South Africa,1662.0,182.0,53.0,123.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,181.0,53.0,89.0,3.0
116.0,Belkacem Mohand,Algeria,1684.0,329.0,178.0,214.0,127.0,57.0,40.0,17.0,24.0,277.0,40.0,168.0,88.0,80.0,42.0,3.0
117.0,Brayden Steenhoff,South Africa,1690.0,284.0,127.0,110.0,158.0,57.0,40.0,17.0,24.0,404.0,25.0,143.0,158.0,51.0,89.0,3.0
118.0,Riaan Subramoney,South Africa,1722.0,359.0,352.0,128.0,101.0,57.0,40.0,17.0,24.0,157.0,53.0,83.0,134.0,125.0,89.0,3.0
119.0,Ayman Mohamed Abdalla,Egypt,1734.0,31.0,82.0,385.0,158.0,57.0,40.0,17.0,24.0,44.0,53.0,168.0,269.0,314.0,89.0,3.0
120.0,Yassine Bettahar,Algeria,1755.0,8.0,43.0,8.0,158.0,57.0,40.0,17.0,24.0,13.0,53.0,168.0,760.0,314.0,89.0,3.0
121.0,Ahmed Ghandoor,Egypt,1756.0,308.0,273.0,385.0,158.0,57.0,40.0,17.0,24.0,171.0,53.0,46.0,80.0,74.0,67.0,3.0
122.0,Wael Ben Ali,Tunisia,1757.0,272.0,184.0,139.0,158.0,57.0,40.0,17.0,24.0,126.0,53.0,168.0,152.0,314.0,50.0,3.0
123.0,Fadi Aissaoui,Algeria,1766.0,224.0,285.0,146.0,158.0,57.0,40.0,17.0,24.0,154.0,53.0,132.0,70.0,314.0,89.0,3.0
124.0,Hayden Raffles,South Africa,1788.0,252.0,137.0,385.0,158.0,57.0,40.0,17.0,24.0,236.0,53.0,168.0,104.0,65.0,89.0,3.0
125.0,Rhys Richardson,South Africa,1797.0,163.0,90.0,92.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,118.0,153.0,314.0,54.0,3.0
126.0,Ruben van Niekerk,South Africa,1805.0,435.0,233.0,158.0,158.0,57.0,40.0,17.0,24.0,203.0,53.0,168.0,102.0,82.0,72.0,3.0
127.0,Damian Jansen,South Africa,1817.0,44.0,89.0,188.0,123.0,57.0,40.0,17.0,24.0,120.0,53.0,168.0,488.0,314.0,89.0,3.0
128.0,Kelvin Muchui,Kenya,1830.0,172.0,428.0,120.0,77.0,52.0,40.0,17.0,24.0,88.0,53.0,168.0,185.0,314.0,89.0,3.0
129.0,Yousef El Fayoumy,Egypt,1845.0,133.0,155.0,27.0,18.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,464.0,136.0,89.0,3.0
130.0,Muhammad Akoodi,South Africa,1855.0,357.0,57.0,196.0,158.0,57.0,40.0,17.0,24.0,123.0,53.0,78.0,502.0,101.0,89.0,3.0
131.0,Aymen Aissaoui,Algeria,1857.0,92.0,163.0,64.0,158.0,57.0,40.0,17.0,24.0,110.0,53.0,113.0,560.0,314.0,89.0,3.0
132.0,Tyrone Warren Bayliss,South Africa,1860.0,132.0,138.0,385.0,158.0,57.0,40.0,17.0,24.0,84.0,53.0,168.0,198.0,314.0,89.0,3.0
132.0,Adriano Vieira,South Africa,1860.0,355.0,23.0,385.0,158.0,57.0,40.0,17.0,24.0,166.0,53.0,168.0,8.0,314.0,89.0,3.0
134.0,Kaiss Mikou,Morocco,1870.0,193.0,10.0,385.0,158.0,57.0,40.0,17.0,24.0,205.0,53.0,168.0,154.0,314.0,89.0,3.0
135.0,Jeandre du Preez,South Africa,1879.0,340.0,196.0,235.0,158.0,57.0,40.0,17.0,24.0,218.0,53.0,168.0,184.0,97.0,89.0,3.0
136.0,Benjamin Kleyn,South Africa,1885.0,203.0,188.0,165.0,158.0,57.0,40.0,17.0,24.0,90.0,53.0,168.0,316.0,314.0,89.0,3.0
137.0,Yahia Ahmed Abdallah Elhawy,Egypt,1892.0,306.0,218.0,132.0,158.0,57.0,40.0,17.0,24.0,174.0,53.0,103.0,204.0,314.0,89.0,3.0
138.0,Yusuf Talha Sayed Karim,South Africa,1895.0,285.0,233.0,192.0,158.0,57.0,40.0,17.0,24.0,150.0,53.0,168.0,112.0,314.0,89.0,3.0
139.0,Daniel David Mizen,South Africa,1898.0,352.0,401.0,179.0,158.0,57.0,40.0,17.0,24.0,222.0,34.0,168.0,143.0,11.0,89.0,3.0
140.0,Atobatele Oreoluwapo David,Nigeria,1911.0,95.0,157.0,118.0,63.0,57.0,40.0,17.0,24.0,72.0,53.0,29.0,780.0,314.0,89.0,3.0
141.0,Abdeldjalil Merzougui,Algeria,1932.0,190.0,160.0,385.0,158.0,57.0,40.0,17.0,24.0,225.0,53.0,168.0,49.0,314.0,89.0,3.0
142.0,Moaz Ayman Al Hosainey,Egypt,1935.0,31.0,145.0,144.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,231.0,314.0,89.0,3.0
143.0,Mostafa Mahran,Egypt,1940.0,320.0,340.0,105.0,83.0,57.0,40.0,17.0,24.0,285.0,53.0,168.0,289.0,131.0,25.0,3.0
144.0,Conrad Roets,South Africa,1979.0,325.0,310.0,215.0,158.0,57.0,40.0,17.0,24.0,190.0,53.0,168.0,281.0,73.0,65.0,3.0
145.0,Casey Milos,South Africa,1981.0,102.0,148.0,73.0,44.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,420.0,282.0,89.0,3.0
146.0,Lindsay Hans,South Africa,1999.0,309.0,35.0,184.0,118.0,53.0,40.0,14.0,24.0,290.0,52.0,86.0,550.0,160.0,81.0,3.0
147.0,Cullen Milne,South Africa,2008.0,138.0,465.0,197.0,158.0,57.0,40.0,17.0,24.0,117.0,41.0,168.0,327.0,182.0,74.0,3.0
148.0,Terushan Moodley,South Africa,2009.0,126.0,65.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,140.0,223.0,89.0,3.0
149.0,Chrisjan Dirk Genis,South Africa,2012.0,160.0,92.0,385.0,158.0,57.0,40.0,17.0,24.0,200.0,53.0,168.0,252.0,314.0,89.0,3.0
150.0,Mouhamed Islem Boukri,Algeria,2031.0,250.0,130.0,385.0,158.0,57.0,40.0,17.0,24.0,298.0,53.0,168.0,45.0,314.0,89.0,3.0
150.0,Praise Boiwa,South Africa,2031.0,153.0,264.0,157.0,158.0,57.0,40.0,17.0,24.0,168.0,53.0,168.0,366.0,314.0,89.0,3.0
152.0,Mostafa Belal Elfaggal,Egypt,2032.0,134.0,312.0,206.0,158.0,57.0,40.0,17.0,24.0,178.0,53.0,168.0,279.0,314.0,89.0,3.0
153.0,Nour Marwan Mostafa,Egypt,2045.0,159.0,185.0,99.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,218.0,314.0,89.0,3.0
154.0,Andry Lala Fanasina Antsamampionona,Madagascar,2051.0,71.0,53.0,65.0,49.0,57.0,40.0,17.0,24.0,37.0,53.0,168.0,1011.0,314.0,89.0,3.0
155.0,Travis Hutton,South Africa,2061.0,469.0,110.0,247.0,158.0,57.0,40.0,17.0,24.0,366.0,53.0,68.0,260.0,104.0,85.0,3.0
156.0,Nicolaas Willem Louw,South Africa,2066.0,232.0,40.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,67.0,126.0,314.0,89.0,3.0
157.0,Abdul Darries,South Africa,2074.0,25.0,169.0,385.0,158.0,57.0,40.0,17.0,24.0,265.0,53.0,168.0,307.0,314.0,89.0,3.0
158.0,Ken Chan Thim,Mauritius,2076.0,381.0,127.0,102.0,158.0,57.0,40.0,17.0,24.0,147.0,53.0,168.0,396.0,314.0,89.0,3.0
159.0,Christo du Venage,South Africa,2077.0,427.0,392.0,145.0,110.0,41.0,38.0,17.0,21.0,134.0,53.0,104.0,471.0,32.0,89.0,3.0
160.0,Laila Yahya,Morocco,2079.0,319.0,69.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,50.0,186.0,89.0,3.0
161.0,Asher Steenhoff,South Africa,2082.0,471.0,233.0,259.0,158.0,57.0,40.0,17.0,24.0,408.0,53.0,131.0,129.0,10.0,89.0,3.0
162.0,Mahmoud Ibrahim,Tunisia,2095.0,577.0,251.0,285.0,146.0,57.0,40.0,17.0,24.0,209.0,48.0,127.0,121.0,102.0,88.0,3.0
163.0,Andrew Antoine,Egypt,2101.0,350.0,288.0,200.0,158.0,57.0,40.0,17.0,24.0,129.0,53.0,168.0,230.0,295.0,89.0,3.0
