Rank,name,Sum,333,222,444,555,666,777,333bf,333oh,clock,minx,pyram,skewb,sq1
101.0,Imran Mehedi Nabil,803.0,155.0,62.0,36.0,33.0,12.0,10.0,2.0,189.0,5.0,36.0,129.0,119.0,15.0
102.0,Adyan Omair Islam,806.0,188.0,65.0,105.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,61.0,48.0,30.0
103.0,Hosne Ahmed Pulock,807.0,200.0,94.0,105.0,46.0,18.0,13.0,2.0,110.0,5.0,36.0,56.0,92.0,30.0
103.0,Tamjid Ul Athar,807.0,184.0,31.0,105.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,29.0,119.0,30.0
105.0,Rakibul Kabir,808.0,98.0,106.0,105.0,46.0,18.0,13.0,2.0,117.0,5.0,36.0,192.0,40.0,30.0
106.0,Shehzad Aryan Hossain,811.0,85.0,52.0,56.0,46.0,18.0,13.0,2.0,118.0,5.0,36.0,231.0,119.0,30.0
107.0,Mohammad Safayetur Rahman Khan,816.0,135.0,122.0,105.0,46.0,18.0,13.0,2.0,72.0,5.0,36.0,113.0,119.0,30.0
108.0,Niaz Rahman,820.0,100.0,131.0,63.0,46.0,18.0,13.0,2.0,82.0,5.0,36.0,175.0,119.0,30.0
109.0,Darul Zinan,826.0,51.0,172.0,105.0,46.0,18.0,13.0,2.0,147.0,5.0,36.0,102.0,99.0,30.0
110.0,Rakin Sameh Nasir,827.0,209.0,86.0,105.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,25.0,63.0,30.0
110.0,Muadh Osman,827.0,204.0,87.0,105.0,46.0,18.0,13.0,2.0,165.0,5.0,36.0,41.0,75.0,30.0
112.0,Md Tanvir Mahtab,838.0,110.0,61.0,105.0,46.0,18.0,13.0,2.0,161.0,5.0,36.0,132.0,119.0,30.0
113.0,Mohammad Sehtab-ul Islam,843.0,164.0,92.0,105.0,46.0,18.0,13.0,2.0,138.0,5.0,36.0,151.0,43.0,30.0
114.0,Taosif Mahir,844.0,94.0,170.0,68.0,46.0,18.0,13.0,2.0,93.0,5.0,36.0,221.0,55.0,23.0
115.0,Syed Khaled Abdullah Fariz,846.0,146.0,97.0,94.0,46.0,18.0,13.0,2.0,146.0,5.0,36.0,134.0,79.0,30.0
116.0,Swapnil Mandal,858.0,75.0,141.0,105.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,131.0,67.0,30.0
117.0,Mahathir Muhammad Athoy,859.0,190.0,114.0,105.0,46.0,18.0,13.0,2.0,157.0,4.0,36.0,82.0,64.0,28.0
118.0,Redwan Reza,870.0,113.0,112.0,78.0,46.0,18.0,13.0,2.0,72.0,5.0,36.0,226.0,119.0,30.0
119.0,Kazi Radman Sheesh,871.0,175.0,126.0,99.0,46.0,18.0,13.0,2.0,156.0,5.0,36.0,142.0,23.0,30.0
120.0,Sandeed Waris,876.0,203.0,76.0,105.0,46.0,18.0,13.0,2.0,120.0,5.0,36.0,103.0,119.0,30.0
121.0,Labib Abdur Rab Jahin,878.0,181.0,156.0,105.0,46.0,18.0,13.0,2.0,101.0,5.0,36.0,66.0,119.0,30.0
