Rank,name,Sum,333,222,444,555,666,333oh,clock,minx,pyram,skewb,sq1
108.0,Giorgi Nikoleishvili (გიორგი ნიკოლეიშვილი),404.0,159.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,11.0,34.0,5.0
110.0,Gio Kikodze (გიო ქიქოძე),406.0,85.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
111.0,Nikoloz Tvauri,407.0,135.0,60.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
112.0,Revan Askarovi,409.0,159.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,16.0,34.0,5.0
113.0,Sandro Grdzelishvili,410.0,89.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
114.0,Nodar Mtskhetadze (ნოდარ მცხეთაძე),416.0,120.0,84.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
114.0,Levan Chochnidze,416.0,107.0,97.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
116.0,Nugzar Chkhaidze (ნუგზარ ჩხაიძე),417.0,125.0,89.0,27.0,9.0,2.0,38.0,2.0,8.0,78.0,34.0,5.0
117.0,Maxime Makharadze,418.0,97.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
118.0,Giorgi Iobashvili (გიორგი იობაშვილი),419.0,98.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
118.0,Sandro Nene Gelashvili,419.0,139.0,68.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
120.0,Ana Marchilashvili (ანა მარჩილაშვილი),421.0,134.0,85.0,27.0,9.0,2.0,38.0,2.0,8.0,77.0,34.0,5.0
121.0,Andria Miqava,422.0,101.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
122.0,Temiko Machavariani,423.0,102.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
122.0,Nikoloz Sakaruli,423.0,117.0,94.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
124.0,Ana Papiashvili (ანა პაპიაშვილი),424.0,103.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
