Rank,name,Sum,333,222,444,555,666,777,333oh,clock,minx,pyram,skewb,sq1
122.0,Joana Josevska,419.0,117.0,94.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,71.0,40.0,5.0
123.0,Ivana Maneva,425.0,112.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,75.0,40.0,5.0
123.0,Jan Arsovski,425.0,103.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
125.0,Tomislav Nasevski,426.0,104.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
126.0,Andrej Vuckovic,431.0,110.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,83.0,40.0,5.0
127.0,Luka Vajevic,435.0,142.0,87.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,69.0,40.0,5.0
128.0,Nikola Georgiev,437.0,115.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
129.0,Martin Popovski,438.0,116.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
129.0,Hristijan Andovski,438.0,121.0,96.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
131.0,Mihaela Smilevska,444.0,125.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,81.0,40.0,5.0
131.0,Filip Filipov,444.0,122.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
133.0,Teodor Stojanov,445.0,123.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
134.0,Simona Dancheva,446.0,124.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
135.0,Todor Pljakov,447.0,131.0,95.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
136.0,Milan Miloshevski,448.0,126.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
137.0,Jakov Bisovski,449.0,127.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
138.0,Stefan Josheski,450.0,128.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
139.0,Matej Jaskoski,451.0,129.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
140.0,Ljubica Spasovska,456.0,134.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
141.0,Todor Dimov,459.0,137.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
142.0,Tomislav Ignjatov,460.0,138.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
143.0,Jelopi Sedeu Nishevikj,462.0,140.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
144.0,Alen Atanasov,463.0,143.0,99.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
144.0,Teo Jovanov,463.0,141.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
146.0,Andrej Dimitrovski,465.0,151.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,76.0,40.0,5.0
147.0,Angel Lazarevski,466.0,144.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
148.0,Marko Tenev,467.0,146.0,100.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
149.0,Veronika Kostadinova,469.0,147.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
150.0,Ilija Ivanov,470.0,148.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
151.0,Adam Galapcev,471.0,149.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
152.0,Borjan Gerasimovski,472.0,150.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
