Rank,name,Sum,333,222,444,555,666,777,333bf,333oh,clock,minx,pyram,skewb,sq1
143.0,Adilet Nurbekov (Адилет Нурбеков),580.0,114.0,132.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
144.0,Darina Burdyaeva,581.0,149.0,132.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,96.0,39.0,18.0
145.0,Danil Kotov (Данил Котов),583.0,117.0,132.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
146.0,Baitur Turdubekov (Байтур Турдубеков),584.0,180.0,70.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
146.0,Azem Sarybaev,584.0,118.0,132.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
146.0,Beksultan Akyn Uulu (Бексултан Акын Уулу),584.0,180.0,132.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,53.0,54.0,18.0
149.0,Aruuke Muratova (Арууке Муратова),585.0,152.0,99.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
150.0,Emil Imankulov (Эмиль Иманкулов),586.0,149.0,123.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,98.0,51.0,18.0
151.0,Raim Havazov (Раим Хавазов),588.0,137.0,132.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,100.0,54.0,18.0
152.0,Aziz Akhmetov (Азиз Ахметов),589.0,145.0,132.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,93.0,54.0,18.0
152.0,Vladimir Kraiushkin (Владимир Краюшкин),589.0,123.0,132.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
154.0,Nurgazy Bekmuratov (Нургазы Бекмуратов),590.0,133.0,132.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,106.0,54.0,18.0
155.0,Beksultan Akbiev (Бексултан Акбиев),591.0,160.0,132.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,19.0,18.0
156.0,Anuar Abakirov,593.0,180.0,113.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,81.0,54.0,18.0
157.0,Atai Djumagulov (Атай Жумагулов),594.0,163.0,118.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,94.0,54.0,18.0
158.0,Iskender Dzhanov (Искендер Джанов),595.0,153.0,132.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,102.0,43.0,18.0
158.0,Erjan Djumagulov (Эржан Джумагулов),595.0,129.0,132.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
160.0,Bilal Soyuzbekov (Билал Союзбеков),597.0,136.0,127.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
161.0,Mikael Amanturov (Микаэль Амантуров),598.0,177.0,132.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,70.0,54.0,18.0
162.0,Djirgalbaev Atay (Джиргалбаев Атай),601.0,151.0,116.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
