Rank,name,Sum,333,222,444,555,666,777,333fm,333oh,clock,minx,pyram,skewb,sq1
95.0,Relish Karki,618.0,53.0,184.0,62.0,21.0,7.0,4.0,8.0,26.0,9.0,18.0,135.0,70.0,21.0
96.0,Piyush Lakhe,622.0,133.0,184.0,62.0,21.0,7.0,4.0,8.0,68.0,9.0,18.0,17.0,70.0,21.0
97.0,Sonam Dorje Lama,628.0,92.0,105.0,62.0,21.0,7.0,4.0,8.0,76.0,9.0,18.0,135.0,70.0,21.0
98.0,Kritika KC,629.0,164.0,80.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,73.0,70.0,21.0
99.0,Ashish Dhungana,633.0,150.0,100.0,56.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,100.0,47.0,21.0
100.0,Aabishkar Adhikari,635.0,77.0,126.0,62.0,21.0,7.0,4.0,8.0,77.0,9.0,18.0,135.0,70.0,21.0
101.0,Sankalpa Pradhan,636.0,118.0,120.0,55.0,21.0,7.0,4.0,8.0,59.0,9.0,18.0,126.0,70.0,21.0
102.0,Sushovan Shakya,640.0,114.0,138.0,62.0,21.0,7.0,4.0,8.0,33.0,9.0,18.0,135.0,70.0,21.0
103.0,Srijan Adhikari,641.0,100.0,117.0,62.0,21.0,7.0,4.0,8.0,75.0,3.0,18.0,135.0,70.0,21.0
103.0,Aadarsha Shahi,641.0,49.0,184.0,62.0,21.0,7.0,4.0,8.0,53.0,9.0,18.0,135.0,70.0,21.0
105.0,Utsav Manandhar,650.0,101.0,102.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
106.0,Aarambha Adhikari,651.0,103.0,115.0,62.0,21.0,7.0,4.0,8.0,78.0,9.0,18.0,135.0,70.0,21.0
107.0,Navneet Singh,655.0,202.0,69.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,72.0,70.0,21.0
108.0,Rijul Shrestha,656.0,158.0,106.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,80.0,70.0,21.0
109.0,Dewashish Man Joshi,657.0,102.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,59.0,70.0,21.0
110.0,Ayush Joshi,662.0,143.0,72.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
111.0,Bivek Rayamajhi,664.0,71.0,157.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,124.0,70.0,21.0
112.0,Kejong Limbu,666.0,35.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
113.0,Ankit Ojha,669.0,205.0,159.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,19.0,44.0,21.0
114.0,Sanjay Gurung,670.0,39.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
115.0,Dipesh Humagain,671.0,124.0,118.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,52.0,21.0
116.0,Dikshyant Thapa,674.0,184.0,89.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,89.0,70.0,21.0
117.0,Devanshu Ladsaria,676.0,113.0,173.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,86.0,62.0,21.0
117.0,Safal Adhikari,676.0,142.0,87.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
119.0,Supriya Paudel,679.0,169.0,92.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,106.0,70.0,21.0
119.0,Ronish Barahi,679.0,48.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
121.0,Nitesh Risal,682.0,153.0,111.0,62.0,21.0,7.0,4.0,8.0,86.0,9.0,18.0,112.0,70.0,21.0
121.0,Swornim Shrestha,682.0,177.0,162.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,31.0,70.0,21.0
123.0,Sanjog Basnet,685.0,79.0,184.0,62.0,21.0,7.0,4.0,8.0,67.0,9.0,18.0,135.0,70.0,21.0
124.0,Rujan Bajracharya,687.0,56.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
125.0,Kaushal Magar,688.0,132.0,109.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
126.0,Rohan Khadka,690.0,189.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,14.0,70.0,12.0
127.0,Anurag Lamsal,692.0,61.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
128.0,Ganesh Poudel,694.0,138.0,137.0,58.0,21.0,7.0,4.0,8.0,87.0,9.0,18.0,135.0,51.0,21.0
129.0,Dipesh Tandukar,697.0,204.0,132.0,62.0,21.0,7.0,4.0,8.0,85.0,9.0,18.0,67.0,59.0,21.0
129.0,Sharun Bajracharya,697.0,190.0,124.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,71.0,70.0,21.0
131.0,Birat Shrestha,698.0,157.0,94.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
132.0,Aayush Pokharel,699.0,167.0,104.0,52.0,21.0,7.0,4.0,8.0,83.0,9.0,18.0,135.0,70.0,21.0
133.0,Sandip Shrestha,701.0,70.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
134.0,Sonam Tamang,703.0,146.0,110.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
134.0,Rajiv Gurung,703.0,186.0,70.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
136.0,Sakas Adhikari,705.0,194.0,121.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,78.0,70.0,21.0
136.0,Ronil Thapa,705.0,170.0,88.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
138.0,Raish Raj Joshi,707.0,76.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
139.0,Anjan Khadka,709.0,229.0,79.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,24.0,21.0
140.0,Nikhil Magar,711.0,80.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
141.0,Shreejay Shakya,712.0,81.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
142.0,Bijan Regmi,715.0,140.0,128.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
143.0,Kiran Joshi,716.0,125.0,144.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
144.0,Jeewal Kunwar,720.0,134.0,184.0,62.0,21.0,7.0,4.0,8.0,47.0,9.0,18.0,135.0,70.0,21.0
144.0,Avinash Gyawali,720.0,89.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
144.0,Sairus Adhikari,720.0,227.0,133.0,62.0,21.0,7.0,4.0,8.0,84.0,9.0,18.0,76.0,50.0,21.0
147.0,Anuraj Maharjan,722.0,91.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
