Rank,name,Sum,333,222,444,555,666,777,333bf,333oh,clock,minx,pyram,skewb,sq1
86.0,Luis Nelson Medina,405.0,107.0,74.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,48.0,33.0,9.0
87.0,Angel Emilio Castillo Aguilar,408.0,102.0,58.0,48.0,10.0,4.0,3.0,3.0,37.0,5.0,20.0,76.0,33.0,9.0
88.0,Zabdy Gabriel Gomez Macias,411.0,53.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
88.0,Roosevlt Noe Nuñez Rodriguez,411.0,98.0,60.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
90.0,Nilsa Kristela Flores Flores,412.0,88.0,71.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
91.0,Lucas Joel Tumlison,414.0,86.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,47.0,33.0,9.0
92.0,Xavier Alessandro Chavez David,416.0,109.0,54.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
93.0,Jose Mauricio Cantillano Enamorado,419.0,133.0,84.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,26.0,33.0,9.0
94.0,Walter Elias Ramos Mayorquin,423.0,78.0,105.0,35.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
94.0,Daniel Lara,423.0,65.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
96.0,Abdel Alberto Trochez Rios,424.0,93.0,78.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
97.0,Jonathan Antonio Mejia Chacez,430.0,72.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
98.0,Raul Antonio Sandoval Ochoa,433.0,75.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
99.0,Ricardo Daniel Trejo Trejo,435.0,122.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,32.0,33.0,9.0
100.0,Sebastián Hernández Bonilla,439.0,81.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
101.0,Pedro Luis Cabrera Acosta,440.0,104.0,83.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
102.0,Joseph Alejandro Ruiz Vallecio,442.0,134.0,79.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,53.0,33.0,9.0
102.0,Diego Jareth Villalta Alvez,442.0,151.0,89.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,39.0,20.0,9.0
102.0,Jorge Moises Hernandez,442.0,103.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,58.0,33.0,9.0
105.0,Mario Alejandro Santos Molina,443.0,92.0,98.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
105.0,Cristian Miguel Rapalo,443.0,121.0,69.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
107.0,Axel Alberto Aguilar Navas,445.0,112.0,80.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
108.0,Luis Alonzo Rapalo Najera,448.0,90.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
