Rank,name,Sum,333,222,444,555,666,777,333oh,clock,minx,pyram,skewb,sq1
94.0,Adam Omar Nagy,407.0,95.0,101.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
96.0,David John Morcos,409.0,123.0,117.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,48.0,31.0,8.0
96.0,Hassan Eissa,409.0,134.0,102.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,52.0,31.0,8.0
98.0,Ahmed Shahdah,410.0,117.0,82.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
99.0,Yaseen Ahmed Kelaiy Raslan,412.0,106.0,95.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
100.0,Mohamed Diaa,413.0,133.0,69.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
100.0,Yahia Rashwan,413.0,93.0,109.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
102.0,Ali Ayman,414.0,131.0,116.0,24.0,7.0,6.0,4.0,27.0,4.0,9.0,53.0,25.0,8.0
102.0,Mohamed El Araby Ali,414.0,100.0,103.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
104.0,Christophe Mina Samir,415.0,69.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,50.0,31.0,8.0
104.0,Malek Yasser,415.0,29.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
106.0,Yassin Elsayed Abd Elfattah,420.0,129.0,80.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
107.0,Philopatir Bichoy Raafat Chenouda,422.0,57.0,175.0,24.0,7.0,7.0,4.0,12.0,4.0,3.0,90.0,31.0,8.0
107.0,Malek Sabra,422.0,149.0,107.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,45.0,31.0,8.0
109.0,Abdulaziz Mohamed Badran,424.0,119.0,94.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
110.0,Moaz Elmekkawy,430.0,128.0,96.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,85.0,31.0,8.0
111.0,Yassin Elattar,434.0,135.0,135.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,56.0,18.0,8.0
112.0,Karim Ashraf Farouk,437.0,51.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
112.0,Mohamed Mostafa,437.0,60.0,175.0,24.0,7.0,7.0,4.0,18.0,4.0,9.0,90.0,31.0,8.0
114.0,Adam Ehab Eid,439.0,125.0,103.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
115.0,Daniel Metry,450.0,136.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,29.0,20.0,8.0
116.0,Badr Mohamed Badr Eldin,453.0,152.0,90.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
117.0,Ammar Alaa Abd El Halim El Lithy,454.0,151.0,92.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
118.0,Yasseen Mesabbah,455.0,69.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
119.0,Hassan Sherif Metawe,457.0,71.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
119.0,Yaseen Atwan,457.0,124.0,130.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,82.0,31.0,8.0
121.0,Safwan Abed Elshafy Ahmed Aly,459.0,145.0,113.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,80.0,31.0,8.0
122.0,Youssef Hamdy Attallah,460.0,76.0,175.0,22.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
123.0,Asser Mohamed Tantawy,464.0,78.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
124.0,Omar Badr,466.0,141.0,114.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
125.0,Karim Mohamed Mamdouh,469.0,210.0,106.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,32.0,31.0,8.0
126.0,Jowayria Gamal Dawood,470.0,147.0,112.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
126.0,Sama Mohamed Shaaban Eldemsessy,470.0,184.0,105.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,60.0,31.0,8.0
126.0,Mohamed Ahmed Mohamed Elshenawy,470.0,122.0,137.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
129.0,Zeyad Abou Zeid,472.0,138.0,127.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,86.0,31.0,8.0
130.0,Hossam El Deen Saad,473.0,157.0,120.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,75.0,31.0,8.0
131.0,David Medhat,474.0,120.0,143.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
132.0,Omar Ibrahim,475.0,266.0,44.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,44.0,31.0,8.0
133.0,Ashraf Hany Ali,477.0,91.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
134.0,Basel Awady,480.0,148.0,121.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
134.0,Yasin Kashmiry,480.0,94.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
136.0,Mohamed Mamdouh Elsherbiny,481.0,192.0,100.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,68.0,31.0,8.0
137.0,Yahia Jarhy,484.0,158.0,115.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
138.0,Karim Lutfi,485.0,162.0,166.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,36.0,31.0,8.0
139.0,Ziad Ibrahim,488.0,102.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
140.0,Omar Mousa,489.0,167.0,111.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
140.0,Adam Sameh Mohamed,489.0,103.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
140.0,Abdallah Abdallah,489.0,201.0,83.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,84.0,31.0,8.0
143.0,Ebraam Wadee Nabil Labib,490.0,104.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
144.0,Youssef Mohamed Alayyat,493.0,107.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
145.0,Ali Mohamed Samir,495.0,161.0,124.0,23.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
146.0,Albaraa Hassan,496.0,110.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
147.0,Yousef Negm El Din,498.0,112.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
147.0,Yara Aymn Nabil,498.0,154.0,133.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
149.0,Ali Shahin,499.0,113.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
150.0,Ammar Ashraf Elsheikh,500.0,114.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
151.0,Abdelrahman Ahmed Mohamed Riad,501.0,115.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
152.0,Bassam Ahmed Attia,502.0,116.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
153.0,Waddaa Hany Gamal Mahmoud Sharaf,504.0,171.0,122.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
153.0,Youssef Ali,504.0,118.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
155.0,Omar Aladl Alsayed Ahmed,505.0,160.0,134.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
156.0,Shaza Ahmed,508.0,168.0,129.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
156.0,Yassin Ahmed,508.0,153.0,144.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
158.0,Aseel Elsayed Abd Elfattah,510.0,181.0,118.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
159.0,Omar Mostafa Shamseldin,513.0,127.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
160.0,Salma Mohamed Ahmed Elsaiad,514.0,177.0,126.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
161.0,Mohammed Abdelsalam Farouk Ragab,516.0,130.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
162.0,Aleyeldin Ahmed,518.0,132.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
163.0,Saged Khaled Khalaf Fathelbab,523.0,137.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
164.0,Kevin Ashraf Ezzat,525.0,139.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
165.0,Kenzy Ahmed Kamal Rohayem,526.0,170.0,145.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
165.0,Zain Hatem Elrefai,526.0,190.0,146.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,69.0,31.0,8.0
165.0,Abdelrahman Mohamed Abdelrahman,526.0,140.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
168.0,Lamees Amin Ahmed Khalil,527.0,185.0,131.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
168.0,John Ramy Fouad,527.0,206.0,110.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
170.0,Ammar Mahmoud,528.0,142.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
170.0,Adham Mohamed Ahmed Alsaiad,528.0,209.0,108.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
172.0,Oliver Osama Ghattas,530.0,144.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
173.0,Ali Ahmed Ali,532.0,146.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
173.0,Youssef Aymn Nabil,532.0,159.0,162.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
175.0,Hassan Yasser Soliman,535.0,165.0,159.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
176.0,Kyrollos Tamer,536.0,150.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
177.0,Yassin Sherif Ahmed Sharaf El-Din,537.0,218.0,140.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,66.0,23.0,8.0
178.0,Abd El Rahman Eslam Mohamed Ayman Badawy,540.0,222.0,119.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,78.0,31.0,8.0
178.0,Marwan Abed Elshafy Ahmed Aly,540.0,182.0,147.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
180.0,Ahmed Rady,541.0,155.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
180.0,Jana Mohamed Said Hassanin,541.0,172.0,158.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
182.0,Sulayman Bassem Elsaqqa,542.0,156.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
183.0,Mohamed Eldeeb,543.0,204.0,128.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
184.0,Anas Mohamed Ali,545.0,195.0,150.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,79.0,31.0,8.0
185.0,Hady Mohammed,547.0,266.0,157.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,10.0,24.0,8.0
186.0,Albraa Mohammad Abdelwahed,549.0,163.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
187.0,Hamza Gredly,550.0,174.0,165.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
187.0,Hanan Mohammed Elattar,550.0,164.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
187.0,Mohamed Saad Labib,550.0,186.0,153.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
190.0,Maria Bichoy Raafat Chenouda,552.0,166.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
190.0,Jamilah Ahmed,552.0,193.0,148.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
192.0,Yassin Hazem Ahmed,554.0,180.0,163.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
193.0,Youssif Sherif Elsayed,555.0,202.0,142.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
193.0,Abdallah Hassan Saber Hassan,555.0,169.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
195.0,Hana Tamer Sophy Mahmoud,556.0,213.0,132.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
196.0,Aala Gamal Tawfik,557.0,173.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,88.0,31.0,8.0
197.0,Seif Saad Ezaat,558.0,224.0,141.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,72.0,31.0,8.0
