Rank,name,Sum,333,222,444,555,666,777,333fm,333oh,clock,minx,pyram,skewb,sq1
78.0,Aren Gevorgyan,301.0,67.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
78.0,Alex Tepelikyan Varuzhan,301.0,83.0,52.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,47.0,19.0,7.0
80.0,Razmik Harutyunyan,304.0,87.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,38.0,19.0,7.0
81.0,Andranik Pambukhchyan,305.0,78.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,48.0,19.0,7.0
81.0,Artyom Petrosyan,305.0,103.0,38.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,45.0,19.0,7.0
83.0,Shushanna Mkrtchian,306.0,84.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,43.0,19.0,7.0
84.0,Tigran Karakhanyan,307.0,91.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,37.0,19.0,7.0
84.0,Narek Badalyan,307.0,73.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
86.0,Hovhannes Namalyan,311.0,97.0,54.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,41.0,19.0,7.0
86.0,Davit Harutyunyan,311.0,86.0,53.0,25.0,10.0,4.0,2.0,2.0,30.0,7.0,11.0,55.0,19.0,7.0
88.0,Miqael Karakhanyan,316.0,82.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
89.0,Aram Galstyan,319.0,85.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
90.0,Zhora Verdyan,322.0,88.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
91.0,Hayk Jamalyan,323.0,89.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
92.0,Davit Aghekyan,324.0,90.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
93.0,Hayk Karagulyan,326.0,92.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
93.0,Vahe Jraghatspanyan,326.0,94.0,58.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
93.0,Ani Mnatsakanyan,326.0,132.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,15.0,19.0,7.0
96.0,David Aghalovyan,327.0,116.0,50.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,42.0,19.0,7.0
96.0,Gevorg Sargsyan,327.0,93.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
98.0,Artur Manukyan,329.0,95.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
