Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,333mbf
103.0,Dimitris Mesadakos,1070.0,171.0,149.0,108.0,70.0,33.0,26.0,20.0,32.0,81.0,56.0,66.0,104.0,114.0,38.0,2.0
105.0,Makis Papadimitriou (Μάκης Παπαδημητριου),1075.0,89.0,168.0,49.0,50.0,33.0,26.0,20.0,33.0,55.0,56.0,77.0,265.0,114.0,38.0,2.0
106.0,Stamatios Laganis,1080.0,220.0,172.0,102.0,92.0,33.0,26.0,20.0,33.0,114.0,56.0,56.0,43.0,73.0,38.0,2.0
107.0,Vasileios Papavarsamis,1082.0,124.0,67.0,185.0,92.0,33.0,26.0,20.0,33.0,144.0,56.0,77.0,144.0,41.0,38.0,2.0
108.0,Sotiris Zaires,1086.0,107.0,64.0,68.0,92.0,33.0,26.0,20.0,33.0,144.0,56.0,77.0,212.0,114.0,38.0,2.0
109.0,Andreas Douzenis,1090.0,33.0,369.0,22.0,26.0,33.0,26.0,20.0,33.0,12.0,56.0,41.0,265.0,114.0,38.0,2.0
110.0,Anthony Dialektakis,1094.0,226.0,143.0,185.0,92.0,33.0,26.0,20.0,33.0,121.0,30.0,38.0,74.0,33.0,38.0,2.0
111.0,Panagiotis Potagas (Παναγιώτης Πόταγας),1095.0,53.0,33.0,185.0,92.0,33.0,26.0,20.0,33.0,117.0,56.0,28.0,265.0,114.0,38.0,2.0
112.0,Nikolas Karagiannis,1096.0,173.0,138.0,55.0,92.0,31.0,26.0,20.0,33.0,144.0,56.0,77.0,97.0,114.0,38.0,2.0
113.0,Vasileios Dimitropoulos,1098.0,114.0,153.0,78.0,28.0,33.0,26.0,20.0,33.0,61.0,56.0,77.0,265.0,114.0,38.0,2.0
114.0,Evangelos Rilinto Salilari (Ευάγγελος Ριλίντο Σαλιλάρι),1100.0,75.0,89.0,70.0,58.0,33.0,26.0,20.0,33.0,144.0,56.0,77.0,265.0,114.0,38.0,2.0
115.0,Lazaros Ioakimidis,1102.0,180.0,101.0,97.0,92.0,33.0,26.0,10.0,33.0,144.0,56.0,77.0,114.0,99.0,38.0,2.0
116.0,Nastis Christos,1105.0,175.0,179.0,100.0,92.0,33.0,26.0,20.0,33.0,94.0,56.0,77.0,85.0,95.0,38.0,2.0
116.0,Konstantinos Theodoropoulos,1105.0,103.0,182.0,185.0,92.0,33.0,26.0,20.0,12.0,144.0,2.0,77.0,121.0,68.0,38.0,2.0
118.0,Vasilis Stathopoulos,1116.0,126.0,118.0,79.0,92.0,33.0,26.0,20.0,33.0,47.0,56.0,67.0,265.0,114.0,38.0,2.0
119.0,Konstantinos Koutsourakis,1120.0,18.0,369.0,15.0,92.0,33.0,26.0,20.0,33.0,23.0,56.0,16.0,265.0,114.0,38.0,2.0
119.0,Konstantinos Tsomakian,1120.0,106.0,97.0,77.0,92.0,33.0,26.0,20.0,33.0,84.0,56.0,77.0,265.0,114.0,38.0,2.0
121.0,Ioannis Fanourios Papadatos,1140.0,193.0,66.0,163.0,92.0,33.0,26.0,20.0,33.0,135.0,56.0,77.0,92.0,114.0,38.0,2.0
122.0,Giannis Leledakis,1144.0,199.0,89.0,185.0,92.0,33.0,26.0,20.0,33.0,144.0,56.0,77.0,36.0,114.0,38.0,2.0
123.0,Georgios Kontotasios,1158.0,131.0,180.0,80.0,65.0,33.0,26.0,20.0,33.0,80.0,56.0,77.0,223.0,114.0,38.0,2.0
123.0,Kostas Tegos,1158.0,164.0,161.0,88.0,92.0,33.0,26.0,20.0,33.0,116.0,56.0,77.0,138.0,114.0,38.0,2.0
125.0,Athanasios Pianas,1159.0,139.0,158.0,129.0,92.0,33.0,26.0,20.0,33.0,126.0,41.0,77.0,131.0,114.0,38.0,2.0
126.0,Dimitris Kasimatis,1161.0,197.0,219.0,89.0,74.0,33.0,26.0,20.0,33.0,93.0,56.0,77.0,90.0,114.0,38.0,2.0
127.0,Kostantinos Malachas,1163.0,227.0,171.0,150.0,84.0,33.0,26.0,20.0,33.0,144.0,56.0,59.0,69.0,51.0,38.0,2.0
127.0,Vasilis Thodis,1163.0,234.0,155.0,185.0,92.0,33.0,26.0,20.0,33.0,62.0,56.0,77.0,36.0,114.0,38.0,2.0
129.0,Nikos Pettas,1165.0,119.0,141.0,185.0,92.0,33.0,26.0,20.0,33.0,144.0,56.0,53.0,109.0,114.0,38.0,2.0
130.0,Timoleon Raphael Zarakotas,1166.0,79.0,67.0,185.0,92.0,33.0,26.0,20.0,33.0,144.0,56.0,12.0,265.0,114.0,38.0,2.0
131.0,Platonas Zeimpekis,1171.0,240.0,212.0,119.0,71.0,33.0,26.0,20.0,33.0,144.0,56.0,77.0,81.0,19.0,38.0,2.0
132.0,Alexandros Sakkos,1173.0,120.0,59.0,94.0,92.0,33.0,26.0,20.0,33.0,144.0,56.0,77.0,265.0,114.0,38.0,2.0
133.0,Stamatis Orfanakos,1174.0,153.0,116.0,185.0,92.0,24.0,26.0,20.0,33.0,144.0,56.0,77.0,94.0,114.0,38.0,2.0
133.0,Georgios Megas,1174.0,30.0,121.0,185.0,92.0,33.0,26.0,5.0,33.0,97.0,56.0,77.0,265.0,114.0,38.0,2.0
135.0,Anna Katsougiannopoulou,1175.0,224.0,234.0,112.0,82.0,33.0,26.0,20.0,33.0,115.0,56.0,68.0,68.0,64.0,38.0,2.0
136.0,Savvas Filippou,1179.0,148.0,183.0,54.0,45.0,33.0,26.0,20.0,33.0,101.0,56.0,61.0,265.0,114.0,38.0,2.0
136.0,Dimitrios Fadakis,1179.0,144.0,99.0,117.0,92.0,33.0,26.0,20.0,33.0,144.0,22.0,30.0,265.0,114.0,38.0,2.0
138.0,Papageorgiou Christoforos Ioannis,1182.0,84.0,141.0,122.0,92.0,33.0,26.0,20.0,33.0,144.0,56.0,48.0,265.0,78.0,38.0,2.0
139.0,Fotios Nitsas,1183.0,203.0,133.0,132.0,92.0,33.0,26.0,20.0,33.0,144.0,36.0,77.0,129.0,85.0,38.0,2.0
139.0,Ioannis Politis,1183.0,172.0,50.0,185.0,92.0,33.0,26.0,20.0,33.0,144.0,56.0,77.0,141.0,114.0,38.0,2.0
141.0,Konstantinos Karipidis,1187.0,97.0,103.0,115.0,92.0,33.0,26.0,20.0,33.0,144.0,56.0,77.0,265.0,86.0,38.0,2.0
142.0,Antonis Vastardis,1207.0,216.0,104.0,185.0,92.0,28.0,26.0,20.0,33.0,144.0,56.0,77.0,72.0,114.0,38.0,2.0
143.0,Iraklis Tsanaktsis,1208.0,228.0,122.0,157.0,92.0,33.0,26.0,20.0,33.0,144.0,56.0,47.0,122.0,88.0,38.0,2.0
144.0,Nikos Vavourakis,1209.0,121.0,253.0,51.0,49.0,33.0,26.0,20.0,33.0,71.0,56.0,77.0,265.0,114.0,38.0,2.0
145.0,George Diamantis (Γιώργος Διαμάντης),1219.0,358.0,154.0,154.0,92.0,33.0,26.0,20.0,33.0,136.0,39.0,77.0,21.0,36.0,38.0,2.0
146.0,Aikaterini Lafara,1221.0,92.0,130.0,99.0,92.0,33.0,26.0,20.0,33.0,144.0,56.0,77.0,265.0,114.0,38.0,2.0
147.0,Georgios Charitos,1227.0,248.0,150.0,185.0,92.0,33.0,26.0,20.0,33.0,144.0,56.0,77.0,9.0,114.0,38.0,2.0
148.0,Giorgos Vitovaris,1229.0,284.0,75.0,146.0,92.0,33.0,26.0,20.0,33.0,111.0,56.0,77.0,167.0,77.0,30.0,2.0
149.0,Dimitris Leontis,1230.0,133.0,12.0,185.0,92.0,33.0,26.0,20.0,33.0,144.0,56.0,77.0,265.0,114.0,38.0,2.0
150.0,Konstantinos Trezos,1233.0,211.0,112.0,185.0,92.0,33.0,26.0,20.0,33.0,144.0,51.0,77.0,95.0,114.0,38.0,2.0
151.0,Rafaela Piana,1234.0,237.0,131.0,120.0,77.0,33.0,26.0,20.0,33.0,132.0,56.0,77.0,155.0,100.0,35.0,2.0
