Rank,name,Sum,333,222,444,555,666,777,333fm,333oh,clock,minx,pyram,skewb,sq1
117.0,Michail Koutouris,541.0,112.0,92.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
119.0,Christos Kalaitsidis,546.0,103.0,113.0,46.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
120.0,Kyriakos Schultze-Kraft,548.0,98.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
121.0,Fanourios Loucas Orthodoxou,549.0,119.0,93.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
122.0,Philippos Rouvas,550.0,143.0,84.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,83.0,53.0,12.0
122.0,Argyris Spyrou,550.0,122.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,75.0,53.0,12.0
124.0,Christos Constantinides,551.0,101.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
125.0,Markos Kyriakides,554.0,104.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
126.0,Andis Scordis,556.0,106.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
127.0,Shams Magdy,560.0,134.0,106.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,80.0,53.0,12.0
128.0,Antreas Demetriou,561.0,139.0,89.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,93.0,53.0,12.0
129.0,Stilianos Dimitriou,563.0,138.0,94.0,52.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,92.0,53.0,12.0
129.0,Panayiotis Demosthenous,563.0,113.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
131.0,Marios Michaelides,564.0,114.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
132.0,Andreas Philippou,567.0,133.0,112.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,82.0,53.0,12.0
133.0,Thomas Hadjichristoforou,568.0,118.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
134.0,Ermos Fettas,574.0,124.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
134.0,Christoforou Eyaggelos,574.0,132.0,111.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,91.0,53.0,12.0
136.0,Stephanos Hadjihannas,575.0,125.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
137.0,Efstathios Panagiotou,576.0,131.0,108.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
137.0,Stavros Lambrou,576.0,140.0,110.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,86.0,53.0,12.0
139.0,Ioannis Menikou,577.0,127.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
140.0,Andreas Evagorou,580.0,130.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
141.0,Thomas Abraham Malayatoor,581.0,141.0,107.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,94.0,52.0,12.0
142.0,Victor Vakanas,583.0,136.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,50.0,12.0
143.0,Nikolas Stoyanov,585.0,135.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
144.0,Petros Kousis,587.0,137.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
145.0,Constantinos Hasapis,589.0,143.0,109.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
146.0,Theodosia Kyriakou,591.0,143.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,95.0,53.0,12.0
146.0,Zoe Orphanides,591.0,142.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,96.0,53.0,12.0
