Rank,name,Sum,333,222,444,555,666,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
142.0,Tedo Sidamonidze (თედო სიდამონიძე),479.0,126.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
143.0,Rostomi Demurashvili,480.0,127.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
143.0,Gabriel Gvelesiani (გაბრიელ გველესიანი),480.0,142.0,98.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
145.0,Gvantsa Makalatia,481.0,128.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
146.0,Nika Maisuradze (ნიკა მაისურაძე),483.0,130.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
147.0,Tata Kvavilashvili (თათა ყვავილაშვილი),490.0,148.0,102.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
147.0,Nikoloz Shaveshiani (ნიკოლოზ შავეშიანი),490.0,137.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
149.0,Zura Shavshishvili (ზურა შავშიშვილი),491.0,138.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
150.0,Davit Kiguradze (დავით კიღურაძე),492.0,159.0,93.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
150.0,Lazare Iakobadze (ლაზარე იაკობაძე),492.0,139.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
152.0,Nikoloz Miminoshvili,493.0,140.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
153.0,Ilya Kudinov,494.0,141.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
154.0,Luka Mosiashvili (ლუკა მოსიაშვილი),495.0,147.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,83.0,34.0,5.0
155.0,Nikoloz Kubaneishvili,496.0,161.0,95.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
